District,Rainfall (mm),River,River Level,Flood Risk,Flood Occurred,Area affected in (m.ha),Population affected in (million),Damage to Crops,Damage to Houses,Year,Month_sin,Month_cos
8,0.0,3,1.883954376551206,1.0,0,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,-2.4492935982947064e-16,1.0
8,0.0,3,1.2432764351003962,1.0,0,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,-2.4492935982947064e-16,1.0
8,0.5204298089068626,3,1.068524087149053,1.0,0,-0.8697690176727929,-0.8146149068172531,-0.7833677004054139,-0.41265913069785004,2012,0.4999999999999999,0.8660254037844387
8,0.0,3,2.974892409229755,1.0,1,-0.8697690176727929,-0.8146149068172531,-0.7833677004054139,-0.41265913069785004,2012,0.4999999999999999,0.8660254037844387
8,0.0,3,2.1835763783785613,1.0,0,-0.8697690176727929,-0.8146149068172531,-0.7833677004054139,-0.41265913069785004,2012,0.4999999999999999,0.8660254037844387
8,0.0,3,2.201297246945164,1.0,0,-0.8697690176727929,-0.8146149068172531,-0.7833677004054139,-0.41265913069785004,2012,0.8660254037844386,0.5000000000000001
8,0.6303791479176885,3,2.207596031873138,1.0,0,-0.8697690176727929,-0.8146149068172531,-0.7833677004054139,-0.41265913069785004,2012,0.8660254037844386,0.5000000000000001
8,0.2087119909139345,3,1.2466777000830074,1.0,0,-0.8697690176727929,-0.8146149068172531,-0.7833677004054139,-0.41265913069785004,2012,0.8660254037844386,0.5000000000000001
8,0.0067647563421684,3,1.4785370714213035,1.0,0,-0.8697690176727929,-0.8146149068172531,-0.7833677004054139,-0.41265913069785004,2012,1.0,6.123233995736766e-17
8,0.0,3,1.800345410137565,1.0,0,-0.8697690176727929,-0.8146149068172531,-0.7833677004054139,-0.41265913069785004,2012,1.0,6.123233995736766e-17
8,0.1282933267508828,3,2.176812336423609,1.0,0,-0.8697690176727929,-0.8146149068172531,-0.7833677004054139,-0.41265913069785004,2012,1.0,6.123233995736766e-17
8,0.0,3,2.9783249478089187,1.0,1,-0.8697690176727929,-0.8146149068172531,-0.7833677004054139,-0.41265913069785004,2012,0.8660254037844387,-0.4999999999999998
8,0.0,3,1.6827184579533094,1.0,0,-0.8697690176727929,-0.8146149068172531,-0.7833677004054139,-0.41265913069785004,2012,0.8660254037844387,-0.4999999999999998
8,0.0,3,2.4971370646592126,1.0,0,-0.8697690176727929,-0.8146149068172531,-0.7833677004054139,-0.41265913069785004,2012,0.8660254037844387,-0.4999999999999998
8,0.0,3,1.5940185965744569,1.0,0,-0.8697690176727929,-0.8146149068172531,-0.7833677004054139,-0.41265913069785004,2012,0.4999999999999999,-0.8660254037844387
8,0.0,3,1.830946462395316,1.0,0,-0.8697690176727929,-0.8146149068172531,-0.7833677004054139,-0.41265913069785004,2012,0.4999999999999999,-0.8660254037844387
